,Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Age
63,7,1,Online,10,No,180,102,21,0,36
64,7,1,Online,10,No,90,53,37,0,36
65,7,1,Online,10,No,91,102,18,0,36
66,7,1,Online,10,No,2,118,14,0,31
67,7,1,Online,10,No,17,129,19,0,36
68,7,1,Online,10,No,10,102,37,0,36
69,7,1,Online,10,No,11,129,10,0,64
70,7,1,Online,10,No,279,89,80,0,36
71,7,1,Online,10,No,36,126,16,0,20
72,7,1,Online,10,No,12,140,39,0,32
73,7,1,Online,10,No,18,145,14,0,36
74,7,1,Online,10,No,6,56,25,0,43
75,7,1,Online,10,No,2,79,10,0,35
76,7,1,Online,10,No,18,129,10,0,36
77,7,1,Online,10,No,2,53,10,0,36
78,7,1,Online,10,No,39,118,68,0,36
79,7,1,Online,10,No,4,140,17,0,35
80,7,1,Online,10,No,38,68,0,0,36
81,7,1,Online,10,No,10,68,23,0,36
82,7,1,Online,10,No,92,93,80,0,36
83,7,1,Online,10,No,22,28,80,0,24
84,7,1,Online,10,No,10,129,10,0,30
85,7,1,Online,10,No,64,79,10,0,61
86,7,1,Online,10,No,7,79,15,0,36
87,7,1,Online,10,No,8,145,0,0,36
88,7,1,Online,10,No,37,129,30,0,43
89,7,1,Online,10,No,2,68,16,0,36
90,7,1,Online,10,No,31,68,58,0,29
91,7,1,Online,10,No,41,63,20,0,40
92,7,1,Online,10,No,6,79,10,0,29
93,7,1,Online,10,No,8,57,17,0,43
94,7,1,Online,10,No,5,57,37,0,21
95,7,1,Online,10,No,126,26,27,0,36
96,7,1,Online,10,No,10,88,51,0,36
97,7,1,Online,10,No,29,102,13,0,21
98,7,1,Online,0,No,50,4,24,0,36
99,7,1,Online,0,No,1,145,20,0,36
100,7,1,Online,0,No,2,26,26,0,36
101,7,1,Online,0,No,1,118,86,0,36
102,7,1,Online,0,No,8,93,28,0,36
103,7,1,Online,0,No,19,79,20,0,62
104,7,1,Online,0,No,24,68,90,0,36
105,8,2,Online,25,No,11,56,50,20,118
106,12,2,Online,25,No,4,19,15,6,44
107,13,2,Online,22,No,55,118,21.35,5.98,48
108,13,2,Online,22,No,15,118,6.5,1.82,48
109,9,2,Online,8,No,45,4,26,9.1,31
110,9,2,Online,8,No,181,57,30,10.5,48
111,9,2,Online,8,No,5,57,22,7.7,29
112,9,2,Online,8,No,22,129,18,6.3,66
113,9,2,Online,8,No,76,4,35,12.25,57
114,9,2,Online,8,No,41,26,44,15.4,37
115,9,2,Online,8,No,43,129,22,7.7,34
116,9,2,Online,8,No,5,26,22,7.7,41
117,1,2,Online,2,No,56,102,75.96,26.59,48
118,1,2,Online,2,No,3,118,12.5,4.38,48
119,1,2,Online,2,No,3,79,4.99,1.75,48
120,2,2,Online,9,No,20,118,47,11.75,30
121,2,2,Online,9,No,29,118,27,6.75,30
122,2,2,Online,9,No,164,118,69.55,17.39,26
123,2,2,Online,9,No,23,118,30.55,7.64,35
124,2,2,Online,17,No,13,118,19.5,4.88,34
125,2,2,Online,17,No,29,118,31.85,7.96,45
126,2,2,Online,13,No,23,118,77.35,19.34,52
127,6,1,Online,16,No,23,79,29.7,17.82,31
128,6,1,Online,16,No,29,4,39.6,23.76,52
129,6,1,Online,16,No,5,79,0,29.7,53
130,6,1,Online,16,No,26,140,148.5,89.1,40
131,6,1,Online,16,No,26,129,29.7,17.82,31
132,6,1,Online,16,No,152,140,9.9,5.94,31
133,6,1,Online,16,No,48,4,59.4,35.64,26
134,6,1,Online,16,No,5,79,39.6,23.76,60
135,6,1,Online,16,No,30,79,59.4,35.64,27
136,6,1,Online,16,No,9,129,49.5,29.7,50
137,6,1,Online,16,No,32,79,49.5,29.7,31
138,6,1,Online,16,No,8,79,39.6,23.76,30
139,6,1,Online,16,No,4,79,19.8,11.88,29
140,6,1,Online,16,No,111,4,89.1,53.46,31
141,6,1,Online,16,No,34,4,19.8,11.88,34
142,6,1,Online,16,No,19,79,39.6,23.76,35
143,6,1,Online,16,No,20,4,148.5,89.1,34
144,6,1,Online,16,No,201,4,0,77.22,23
145,6,1,Online,16,No,2,118,9.9,5.94,44
146,7,1,Online,1,No,4,145,20,0,36
147,7,1,Online,1,No,13,129,20,0,36
148,7,1,Online,1,No,39,103,69,0,36
149,7,1,Online,1,No,10,53,20,0,36
150,7,1,Online,1,No,48,79,20,0,53
151,7,1,Online,1,No,62,126,22,0,36
152,7,1,Online,1,No,4,79,20,0,53
153,7,1,Online,1,No,90,68,42,0,36
154,7,1,Online,1,No,10,102,56,0,36
155,7,1,Online,1,No,13,79,20,0,43
156,7,1,Online,1,No,19,129,20,0,36
157,7,1,Online,1,No,3,118,20,0,39
158,7,1,Online,1,No,18,129,20,0,45
159,7,1,Online,1,No,18,145,20,0,36
160,7,1,Online,1,No,22,26,69,0,36
161,7,1,Online,1,No,6,26,36,0,36
162,7,1,Online,1,No,11,79,20,0,48
163,7,1,Online,1,No,18,63,112,0,36
164,7,1,Online,1,No,12,26,27,0,36
165,7,1,Online,1,No,81,68,32,0,24
166,7,1,Online,1,No,36,118,67,0,36
167,7,1,Online,1,No,28,118,20,0,36
168,7,1,Online,1,No,57,68,53,0,57
169,7,1,Online,1,No,42,79,20,0,36
170,7,1,Online,1,No,91,63,44,0,29
171,7,1,Online,1,No,7,53,20,0,61
172,7,1,Online,1,No,12,79,20,0,27
173,7,1,Online,1,No,49,79,20,0,27
174,7,1,Online,1,No,13,57,20,0,36
175,7,1,Online,1,No,28,56,50,0,36
176,7,1,Online,1,No,124,63,89,0,25
177,7,1,Online,10,No,7,79,16,0,36
178,7,1,Online,10,No,22,53,29,0,36
179,7,1,Online,10,No,1,140,20,0,47
180,7,1,Online,10,No,49,56,24,0,36
181,7,1,Online,10,No,28,129,27,0,36
182,7,1,Online,10,No,13,26,33,0,36
183,7,1,Online,10,No,118,88,10,0,35
184,7,1,Online,10,No,7,118,18,0,36
185,7,1,Online,10,No,7,68,58,0,36
186,7,1,Online,10,No,52,122,46,0,36
187,7,1,Online,10,No,59,88,16,0,21
188,7,1,Online,10,No,38,53,12,0,36
189,7,1,Online,10,No,18,129,29,0,36
190,7,1,Online,10,No,73,140,69,0,59
191,7,1,Online,10,No,21,57,15,0,31
192,7,1,Online,10,No,25,79,20,0,36
193,7,1,Online,10,No,19,68,19,0,36
194,7,1,Online,10,No,20,79,13,0,36
195,7,1,Online,10,No,33,139,74,0,36
196,7,1,Online,10,No,31,129,40,0,30
197,7,1,Online,10,No,24,129,10,0,36
198,7,1,Online,10,No,1,140,17,0,28
199,7,1,Online,10,No,12,79,13,0,36
200,7,1,Online,10,No,5,79,10,0,36
201,7,1,Online,10,No,25,31,80,0,36
202,7,1,Online,10,No,12,53,80,0,36
203,7,1,Online,10,No,12,129,34,0,36
204,7,1,Online,10,No,94,4,80,0,36
205,7,1,Online,10,No,13,88,10,0,36
206,7,1,Online,10,No,46,4,80,0,36
207,7,1,Online,10,No,29,68,22,0,30
208,7,1,Online,10,No,57,118,11,0,40
209,7,1,Online,10,No,82,44,80,0,36
210,7,1,Online,10,No,13,123,10,0,36
211,7,1,Online,10,No,12,21,14,0,36
212,7,1,Online,10,No,9,129,13,0,36
213,7,1,Online,10,No,6,129,23,0,33
214,7,1,Online,0,No,55,4,26,0,36
215,7,1,Online,0,No,2,79,20,0,36
216,7,1,Online,0,No,26,79,20,0,24
217,7,1,Online,0,No,4,26,20,0,36
218,7,1,Online,0,No,25,26,46,0,36
219,7,1,Online,0,No,49,118,20,0,29
220,8,2,Online,25,No,4,56,62,24.8,118
221,12,2,Online,25,No,14,19,15,6,39
222,13,2,Online,22,No,54,118,1.98,0.56,48
223,13,2,Online,22,No,40,118,3.89,1.09,48
224,13,2,Online,22,No,11,118,7.21,2.02,48
225,9,2,Online,8,No,5,53,22,7.7,67
226,9,2,Online,8,No,5,57,22,7.7,53
227,9,2,Online,8,No,6,129,22,7.7,60
228,9,2,Online,8,No,2,145,18,6.3,57
229,9,2,Online,8,No,15,21,30,10.5,57
230,9,2,Online,8,No,90,79,22,7.7,57
231,9,2,Online,8,No,28,53,35,12.25,52
232,9,2,Online,8,No,21,145,22,7.7,40
233,9,2,Online,8,No,130,57,33,11.55,38
234,9,2,Online,8,No,34,26,22,7.7,46
235,9,2,Online,25,No,49,5,67,23.45,49
236,9,2,Online,25,No,33,4,92,32.2,72
237,2,2,Online,9,No,19,118,17.55,4.39,31
238,2,2,Online,9,No,4,118,17.55,4.39,35
239,2,2,Online,9,No,9,118,17.55,4.39,26
240,2,2,Online,9,No,28,118,17.55,4.39,33
241,2,2,Online,9,No,18,118,0,7.47,45
242,2,2,Online,9,No,18,118,38.35,9.59,34
243,2,2,Online,9,No,55,118,94,23.5,30
244,2,2,Online,9,No,32,118,44.85,11.21,27
245,2,2,Online,17,No,13,118,62.25,15.56,27
246,2,2,Online,17,No,13,118,81.75,20.44,30
247,2,2,Online,17,No,12,118,62.25,15.56,29
248,2,2,Online,17,Yes,10,118,43.55,10.89,45
249,2,2,Online,17,No,10,118,43.55,10.89,46
250,2,2,Online,17,No,34,118,109,27.25,27
251,2,2,Online,4,No,388,118,252.85,63.21,29
252,2,2,Online,4,No,388,118,260.63,65.16,30
253,2,2,Online,4,No,369,118,260.63,65.16,47
254,2,2,Online,4,No,368,118,252.85,63.21,30
255,6,1,Online,16,No,114,139,69.3,41.58,51
256,6,1,Online,16,No,20,61,39.6,23.76,51
257,6,1,Online,16,No,40,121,128.7,77.22,55
258,6,1,Online,16,No,3,79,29.7,17.82,28
259,6,1,Online,16,No,85,93,108.9,65.34,35
260,6,1,Online,16,No,5,79,0,29.7,54
261,6,1,Online,16,No,17,140,118.8,71.28,32
262,6,1,Online,16,No,6,140,29.7,17.82,31
263,6,1,Online,16,No,133,96,0,65.34,31
264,6,1,Online,16,No,5,139,39.6,23.76,31
265,6,1,Online,16,No,5,129,29.7,17.82,44
266,6,1,Online,16,No,18,4,138.6,83.16,51
267,6,1,Online,16,No,5,4,29.7,17.82,29
268,6,1,Online,16,No,45,129,19.8,11.88,33
269,6,1,Online,16,No,8,121,49.5,29.7,31
270,6,1,Online,16,No,103,140,158.4,95.04,29
271,6,1,Online,16,No,12,63,29.7,17.82,31
272,7,1,Online,1,No,110,118,20,0,35
273,7,1,Online,1,No,147,139,64,0,36
274,7,1,Online,1,No,32,128,112,0,36
275,7,1,Online,1,No,26,79,20,0,36
276,7,1,Online,1,No,37,140,112,0,31
277,7,1,Online,1,No,32,140,50,0,25
278,7,1,Online,1,No,7,53,23,0,28
279,7,1,Online,1,No,39,118,38,0,36
280,7,1,Online,1,No,27,57,20,0,36
281,7,1,Online,1,No,22,57,20,0,36
282,7,1,Online,1,No,306,63,31,0,36
283,7,1,Online,1,No,11,4,74,0,36
284,7,1,Online,1,No,12,71,37,0,36
285,7,1,Online,1,No,21,26,52,0,36
286,7,1,Online,1,No,56,61,69,0,36
287,7,1,Online,1,No,56,61,69,0,36
288,7,1,Online,1,No,20,129,20,0,36
289,7,1,Online,1,No,41,145,26,0,36
290,7,1,Online,1,No,15,102,30,0,36
291,7,1,Online,1,No,20,56,46,0,36
292,7,1,Online,1,No,9,129,20,0,36
293,7,1,Online,1,No,14,129,20,0,40
294,7,1,Online,1,No,35,118,56,0,36
295,7,1,Online,1,No,2,79,29,0,36
296,7,1,Online,1,No,8,79,20,0,35
297,7,1,Online,1,No,9,118,0,0,36
298,7,1,Online,1,No,8,79,32,0,36
299,7,1,Online,1,No,10,145,23,0,36
300,7,1,Online,1,No,24,145,71,0,36
301,7,1,Online,1,No,4,118,20,0,36
302,7,1,Online,1,No,3,79,20,0,36
303,7,1,Online,1,No,4,26,37,0,36
304,7,1,Online,1,No,3,79,20,0,25
305,7,1,Online,1,No,17,129,26,0,69
306,7,1,Online,1,No,75,4,31,0,36
307,7,1,Online,1,No,9,118,30,0,36
308,7,1,Online,1,No,47,79,37,0,31
309,7,1,Online,1,No,28,123,39,0,36
310,7,1,Online,1,No,83,102,20,0,39
311,7,1,Online,1,No,56,4,27,0,36
312,7,1,Online,10,No,1,140,24,0,60
313,7,1,Online,10,Yes,73,129,16,0,36
314,7,1,Online,10,No,12,79,10,0,36
315,7,1,Online,10,No,15,118,19,0,36
316,7,1,Online,10,No,12,145,37,0,36
317,7,1,Online,10,No,27,118,70,0,26
318,7,1,Online,10,No,24,79,14,0,36
319,7,1,Online,10,No,27,79,10,0,49
320,7,1,Online,10,No,41,68,10,0,22
321,7,1,Online,10,No,41,68,10,0,23
322,7,1,Online,10,No,35,88,13,0,39
323,7,1,Online,10,No,8,140,42,0,55
324,7,1,Online,10,No,34,26,33,0,36
325,7,1,Online,10,No,27,21,17,0,36
326,7,1,Online,10,No,54,68,39,0,36
327,7,1,Online,10,No,11,53,18,0,36
328,7,1,Online,10,No,5,53,29,0,36
329,7,1,Online,10,No,40,53,24,0,28
330,7,1,Online,10,No,29,126,43,0,36
331,7,1,Online,10,No,7,118,10,0,36
332,7,1,Online,10,No,28,129,30,0,36
333,7,1,Online,10,No,57,123,10,0,32
334,7,1,Online,10,No,38,140,18,0,38
335,7,1,Online,10,No,53,93,59,0,36
336,7,1,Online,10,No,40,118,16,0,45
337,7,1,Online,10,No,18,88,19,0,36
338,7,1,Online,10,No,32,26,33,0,36
339,7,1,Online,10,No,13,53,21,0,53
340,7,1,Online,10,No,25,56,20,0,36
341,7,1,Online,10,No,15,26,32,0,36
342,7,1,Online,10,No,11,26,24,0,36
343,7,1,Online,10,No,13,26,16,0,36
344,7,1,Online,10,No,36,140,11,0,21
345,7,1,Online,10,No,26,79,22,0,54
346,7,1,Online,10,No,27,56,0,0,36
347,7,1,Online,10,No,49,4,18,0,36
348,7,1,Online,10,No,33,57,10,0,36
349,7,1,Online,10,No,27,57,10,0,28
350,7,1,Online,10,No,81,90,45,0,36
351,7,1,Online,10,No,27,53,30,0,20
352,7,1,Online,10,No,25,4,45,0,36
353,7,1,Online,10,No,82,102,14,0,36
354,7,1,Online,10,No,70,126,21,0,36
355,7,1,Online,10,No,19,79,10,0,36
356,7,1,Online,10,No,19,79,10,0,36
357,7,1,Online,0,No,14,26,20,0,36
358,7,1,Online,0,No,6,88,20,0,57
359,7,1,Online,0,No,9,88,20,0,36
360,7,1,Online,0,No,52,4,28,0,36
361,7,1,Online,0,No,17,63,39,0,36
362,7,1,Online,0,No,25,26,27,0,36
363,7,1,Online,0,No,5,118,51,0,36
364,7,1,Online,0,No,49,102,20,0,36
365,7,1,Online,0,No,5,145,20,0,29
366,7,1,Online,0,No,17,79,37,0,36
367,8,2,Online,25,No,16,56,50,20,118
368,12,2,Online,25,No,75,19,31,12.4,78
369,12,2,Online,25,No,3,19,15,6,48
370,13,2,Online,22,No,39,118,1.48,0.41,48
371,13,2,Online,22,No,53,118,73.67,20.65,48
372,13,2,Online,22,No,40,118,7.21,2.02,48
373,13,2,Online,22,No,13,118,5.09,1.43,48
374,9,2,Online,8,No,4,88,18,6.3,29
375,9,2,Online,8,No,54,53,26,9.1,40
376,9,2,Online,8,No,3,79,18,6.3,33
377,9,2,Online,8,No,5,79,18,6.3,40
378,9,2,Online,8,No,104,63,35,12.25,38
379,9,2,Online,8,No,10,129,22,7.7,42
380,9,2,Online,8,No,24,56,35,12.25,53
381,9,2,Online,8,No,10,129,22,7.7,45
382,9,2,Online,8,No,48,56,50,17.5,53
383,9,2,Online,8,No,6,129,18,6.3,49
384,9,2,Online,8,No,7,126,26,9.1,47
385,9,2,Online,8,No,20,123,26,9.1,45
386,9,2,Online,8,No,6,26,26,9.1,47
387,9,2,Online,8,No,15,129,22,7.7,49
388,9,2,Online,8,No,4,129,18,6.3,55
389,9,2,Online,8,No,48,63,26,9.1,32
390,9,2,Online,8,No,14,129,22,7.7,70
391,9,2,Online,8,No,14,88,33,11.55,34
392,9,2,Online,8,No,42,26,63,22.05,48
393,9,2,Online,8,No,13,129,22,7.7,68
394,9,2,Online,25,No,131,139,125,43.75,31
395,9,2,Online,25,No,36,139,87,30.45,51
396,9,2,Online,25,No,202,41,149,52.15,38
397,9,2,Online,25,No,42,26,92,32.2,53
398,9,2,Online,25,No,11,44,87,30.45,49
399,9,2,Online,25,No,10,26,45,15.75,50
400,5,1,Offline,12,No,92,79,29,9.57,72
401,5,1,Offline,12,No,92,79,29,9.57,77
402,4,1,Offline,12,No,5,79,29,9.57,118
403,4,1,Offline,12,No,5,79,29,9.57,118
404,4,1,Offline,12,No,5,79,29,9.57,118
405,3,1,Offline,12,No,36,129,29,9.57,63
406,1,2,Online,2,No,2,102,7.44,2.6,48
407,1,2,Online,2,No,2,129,9.48,3.32,48
408,2,2,Online,9,No,10,118,38.35,9.59,71
409,2,2,Online,9,No,17,118,38.35,9.59,45
410,2,2,Online,9,No,32,118,22.1,5.53,28
411,2,2,Online,9,No,32,118,38.35,9.59,26
412,2,2,Online,9,No,4,118,17.55,4.39,22
413,2,2,Online,9,No,7,118,17.25,4.31,60
414,2,2,Online,9,No,179,118,682,170.5,25
415,2,2,Online,9,No,33,118,17.25,4.31,30
416,2,2,Online,9,No,5,118,17.55,4.39,25
417,2,2,Online,9,No,31,118,38.35,9.59,56
418,2,2,Online,17,No,18,118,71,17.75,42
419,2,2,Online,17,Yes,11,118,62.25,15.56,33
420,2,2,Online,17,No,47,118,70.85,17.71,39
421,2,2,Online,17,No,61,118,25.9,6.47,37
422,2,2,Online,17,No,5,118,25.9,6.47,42
423,2,2,Online,13,No,26,118,119,29.75,48
424,2,2,Online,4,Yes,365,118,187.85,46.96,32
425,2,2,Online,4,No,374,118,252.85,63.21,42
426,2,2,Online,4,No,386,118,252.85,63.21,33
427,2,2,Online,3,No,369,118,389.35,97.34,42
428,6,1,Online,16,No,86,79,39.6,23.76,43
429,6,1,Online,16,No,2,79,9.9,5.94,67
430,6,1,Online,16,No,2,140,19.8,11.88,30
431,6,1,Online,16,No,17,129,29.7,17.82,52
432,6,1,Online,16,No,60,79,19.8,11.88,31
433,6,1,Online,16,No,28,129,49.5,29.7,31
434,6,1,Online,16,No,8,79,19.8,11.88,69
435,6,1,Online,16,No,4,138,19.8,11.88,31
436,6,1,Online,16,No,32,79,0,89.1,45
437,6,1,Online,16,No,26,4,39.6,23.76,43
438,6,1,Online,16,No,100,4,0,106.92,31
439,6,1,Online,16,Yes,105,139,39.6,23.76,32
440,6,1,Online,16,No,244,129,49.5,29.7,41
441,6,1,Online,16,No,34,4,59.4,35.64,35
442,7,1,Online,1,No,56,129,31,0,32
443,7,1,Online,1,No,52,102,34,0,36
444,7,1,Online,1,No,53,102,20,0,26
445,7,1,Online,1,No,39,79,20,0,36
446,7,1,Online,1,No,99,129,33,0,36
447,7,1,Online,1,No,45,126,25,0,36
448,7,1,Online,1,No,9,57,20,0,51
449,7,1,Online,1,No,21,79,20,0,36
450,7,1,Online,1,No,52,102,34,0,36
451,7,1,Online,1,No,52,102,34,0,36
452,7,1,Online,1,No,76,26,38,0,36
453,7,1,Online,1,No,25,102,70,0,36
454,7,1,Online,1,No,46,129,24,0,36
455,7,1,Online,1,No,202,122,76,0,36
456,7,1,Online,1,No,103,68,56,0,36
457,7,1,Online,1,No,11,118,26,0,36
458,7,1,Online,1,No,33,53,21,0,26
459,7,1,Online,1,No,108,88,20,0,29
460,7,1,Online,1,No,19,79,20,0,50
461,7,1,Online,1,No,279,139,107,0,36
462,7,1,Online,1,Yes,9,26,87,0,36
463,7,1,Online,1,No,13,57,20,0,65
464,7,1,Online,1,No,11,129,20,0,36
465,7,1,Online,1,No,8,118,30,0,36
466,7,1,Online,1,No,16,26,46,0,36
467,7,1,Online,1,No,6,57,26,0,36
468,7,1,Online,1,No,10,21,103,0,36
469,7,1,Online,1,No,14,79,20,0,39
470,7,1,Online,1,No,45,26,0,0,36
471,7,1,Online,1,No,277,31,21,0,36
472,7,1,Online,1,No,45,26,33,0,36
473,7,1,Online,1,No,107,129,20,0,38
474,7,1,Online,1,No,10,26,68,0,36
475,7,1,Online,1,No,61,57,25,0,36
476,7,1,Online,1,No,83,26,28,0,36
477,7,1,Online,1,No,61,57,25,0,36
478,7,1,Online,1,No,47,129,68,0,36
479,7,1,Online,1,No,34,4,62,0,36
480,7,1,Online,1,No,25,140,98,0,38
481,7,1,Online,1,No,7,91,112,0,36
482,7,1,Online,1,No,7,79,20,0,36
483,7,1,Online,10,No,18,26,31,0,36
484,7,1,Online,10,No,38,140,10,0,42
485,7,1,Online,10,No,12,53,21,0,51
486,7,1,Online,10,No,6,118,13,0,28
487,7,1,Online,10,No,14,129,27,0,36
488,7,1,Online,10,No,41,57,12,0,36
489,7,1,Online,10,No,56,126,21,0,36
490,7,1,Online,10,No,7,77,19,0,36
491,7,1,Online,10,No,87,139,80,0,43
492,7,1,Online,10,No,22,79,11,0,45
493,7,1,Online,10,No,24,118,60,0,36
494,7,1,Online,10,No,59,88,16,0,36
495,7,1,Online,10,No,12,79,20,0,45
496,7,1,Online,10,No,76,56,22,0,36
497,7,1,Online,10,No,12,145,15,0,36
498,7,1,Online,10,No,45,129,30,0,36
499,7,1,Online,10,No,83,102,23,0,36
500,7,1,Online,10,No,10,56,45,0,36
501,7,1,Online,10,No,28,56,25,0,36
502,7,1,Online,10,No,276,29,80,0,36
503,7,1,Online,10,No,27,26,46,0,49
504,7,1,Online,10,No,28,56,35,0,36
505,7,1,Online,10,No,19,40,80,0,36
506,7,1,Online,10,No,123,79,26,0,28
507,7,1,Online,10,No,11,57,32,0,36
508,7,1,Online,10,No,11,129,15,0,36
509,7,1,Online,10,No,12,118,10,0,36
510,7,1,Online,10,No,4,129,10,0,36
511,7,1,Online,10,No,7,129,10,0,24
512,7,1,Online,10,No,12,4,33,0,36
513,7,1,Online,10,No,54,23,10,0,22
514,7,1,Online,10,No,2,118,14,0,36
515,7,1,Online,10,No,3,68,49,0,21
516,7,1,Online,10,No,47,26,31,0,36
517,7,1,Online,10,No,9,53,15,0,36
518,7,1,Online,10,No,277,23,80,0,29
519,7,1,Online,10,No,15,118,80,0,36
520,7,1,Online,10,No,26,102,19,0,29
521,7,1,Online,10,No,39,57,27,0,37
522,7,1,Online,10,No,40,63,43,0,36
523,7,1,Online,10,No,4,145,10,0,36
524,7,1,Online,10,No,39,63,80,0,36
525,7,1,Online,10,No,5,53,10,0,36
526,7,1,Online,10,No,81,63,36,0,36
527,7,1,Online,10,No,6,118,16,0,45
528,7,1,Online,10,No,8,129,10,0,53
529,7,1,Online,10,No,5,79,19,0,36
530,7,1,Online,10,No,122,102,13,0,36
531,7,1,Online,10,No,31,79,14,0,36
532,7,1,Online,10,No,148,63,40,0,36
533,7,1,Online,10,No,7,145,10,0,58
534,7,1,Online,10,No,123,118,49,0,36
535,7,1,Online,10,No,28,61,72,0,36
536,7,1,Online,10,No,32,68,55,0,36
537,7,1,Online,10,No,64,63,38,0,36
538,7,1,Online,10,No,18,145,0,0,36
539,7,1,Online,10,No,17,79,40,0,35
540,7,1,Online,10,No,33,26,32,0,36
541,7,1,Online,10,No,7,21,41,0,36
542,7,1,Online,10,No,22,123,30,0,36
543,7,1,Online,10,No,17,129,27,0,36
544,7,1,Online,10,No,41,23,40,0,26
545,7,1,Online,10,No,278,23,62,0,32
546,7,1,Online,10,No,9,53,39,0,61
547,7,1,Online,10,No,25,118,16,0,36
548,7,1,Online,10,No,26,56,30,0,36
549,7,1,Online,10,No,18,126,17,0,36
550,7,1,Online,0,No,204,118,32,0,36
551,7,1,Online,0,No,112,68,23,0,36
552,7,1,Online,0,No,3,68,20,0,36
553,7,1,Online,0,No,2,132,56,0,36
554,7,1,Online,0,No,10,118,20,0,55
555,7,1,Online,0,No,7,118,20,0,36
556,7,1,Online,0,No,8,53,55,0,49
557,7,1,Online,0,No,27,118,20,0,36
558,7,1,Online,0,No,54,110,20,0,36
559,7,1,Online,0,No,12,4,47,0,36
560,7,1,Online,0,No,13,145,20,0,39
561,7,1,Online,0,No,31,140,20,0,45
562,8,2,Online,25,No,10,56,31,12.4,118
563,8,2,Online,25,No,18,56,0,28.8,118
564,8,2,Online,25,No,7,56,62,24.8,118
565,8,2,Online,25,No,12,56,60,24,118
566,8,2,Online,25,No,15,56,50,20,118
567,10,1,Online,25,No,40,57,28,10.64,48
568,10,1,Online,25,No,38,91,75,28.5,48
569,10,1,Online,25,No,111,44,95,36.1,48
570,12,2,Online,25,No,4,19,15,6,52
571,12,2,Online,25,No,5,19,15,6,38
572,12,2,Online,25,No,3,19,15,6,39
573,12,2,Online,25,No,15,19,15,6,45
